"language.glotcode","lat","lng","lang","limit","adding","Сколько.показателей.сл.","Показатель.умножения","base","Категория.по.пределу","PK","id.x","family","fnam","family_pk","language.isocode","language","language.name","PKlanguage","status"
"achu1247","41.0979","-121.191","achumawi","100","есть — высокий предел","1","нет","10","100","44311","pala1350","family","Palaihnihan","44311","acv","language","Achumawi","44312","established"
"aleu1260","52.1228","-174.29","aleut","100+","есть — высокий предел","0","TBA","10","100+","34754","eski1264","family","Eskimo-Aleut","34754","ale","language","Aleut","34797","established"
"apur1254","-8.22","-66.77","apurina","5","есть — невысокий предел","1","нет","5","5",NA,NA,NA,"Arawakan",NA,NA,NA,NA,NA,NA
"arap1274","43.39","-108.81","arapaho","100+","нет — высокий предел","0","TBA","10","100+",NA,NA,NA,"Algic",NA,NA,NA,NA,NA,NA
"araw1276","5.64","-56.92","Arawak","20","нет — невысокий предел","0","TBA","5","20",NA,NA,NA,"Arawakan",NA,NA,NA,NA,NA,NA
"atak1252","30.9121","-93.0827","atakapa","100+","есть — высокий предел","0","TBA","10","100+",NA,NA,"isolate","Isolate",NA,"aqp","language","Atakapa","38918","established"
"bara1380","0.02","-70.81","barasana","5","нет — невысокий предел","0","TBA","5","5",NA,NA,NA,"Tucanoan",NA,NA,NA,NA,NA,NA
"cakc1244","14.47","-90.99","cakchiquel","100+","нет — высокий предел","0","TBA","20","100+",NA,NA,NA,"Mayan",NA,NA,NA,NA,NA,NA
"cata1285","34.97","-80.89","catawba","100+","нет — высокий предел","1","нет","10","100+",NA,NA,NA,"Siouan",NA,NA,NA,NA,NA,NA
"cavi1250","-13.3544","-66.6277","cavinena","10","есть — высокий предел","0","нет","10","10","43726","taca1255","family","Tacanan","107710","cav","language","Cavineña","43727","established"
"cent2127","60.31","-161.49","central alaskan yupik","100+","есть — высокий предел","1","нет","20","100+",NA,NA,NA,"Eskimo-Aleut",NA,NA,NA,NA,NA,NA
"cent2136","46.57","-84.15","ojibwa","100+","нет — невысокий предел","0","TBA","10","100+",NA,NA,NA,"Algic",NA,NA,NA,NA,NA,NA
"cher1273","35.4664","-83.163","cherokee","100","есть — высокий предел","0","нет","10","100","38935","iroq1247","family","Iroquoian","38935","chr","language","Cherokee","38951","established"
"chic1272","21.29","-100.52","chichimeco","100+","нет — высокий предел","1","нет","20","100+",NA,NA,NA,"Otomanguean",NA,NA,NA,NA,NA,NA
"chim1300","16.65","-94.69","Chimalapa Zoque","100+","есть — высокий предел","0","TBA","20","100+",NA,NA,NA,"Mixe-Zoque",NA,NA,NA,NA,NA,NA
"chin1286","45.17","-119.17","chinook","100","нет — высокий предел","0","TBA","10","100",NA,NA,NA,"Chinookan",NA,NA,NA,NA,NA,NA
"chip1241","47.35","-94.27","chippewa","100","нет — высокий предел","0","TBA","10","100",NA,NA,NA,"Algic",NA,NA,NA,NA,NA,NA
"chip1261","58.36","-110.83","chipewyan","100+","нет — высокий предел","0","TBA","10","100+",NA,NA,NA,"Athapaskan-Eyak-Tlingit",NA,NA,NA,NA,NA,NA
"choc1276","33.90","-94.82","choctaw","100+","нет — высокий предел","1","нет","10","100+",NA,NA,NA,"Muskogean",NA,NA,NA,NA,NA,NA
"clas1250","19.72","-96.97","classical nahuatl","100+","есть — высокий предел","0","TBA","20","100+",NA,NA,NA,"Uto-Aztecan",NA,NA,NA,NA,NA,NA
"coca1259","-4.50","-74.00","cocama-cocamilla","100+","нет — высокий предел","0","TBA","10","100+",NA,NA,NA,"Tupian",NA,NA,NA,NA,NA,NA
"cree1270","31","-87.5","creek","100+","нет — высокий предел","1","нет","10","100+","26717","musk1252","family","Muskogean","26717","mus","language","Creek","26728","established"
"cupe1243","33.31","-116.52","cupeno","5","есть — высокий предел","1","нет","5","5",NA,NA,NA,"Uto-Aztecan",NA,NA,NA,NA,NA,NA
"dako1258","47.69","-102.12","dakota","100+","есть — невысокий предел","1","нет","10","100+",NA,NA,NA,"Siouan",NA,NA,NA,NA,NA,NA
"sout2965","47.26","-122.14","southern puget sound salish","100+","есть — невысокий предел","1","нет","10","100+",NA,NA,NA,"Salishan",NA,NA,NA,NA,NA,NA
"epen1239","4.26","-77.36","epena","5","нет — высокий предел","0","TBA","5","5",NA,NA,NA,"Chocoan",NA,NA,NA,NA,NA,NA
"filo1235","20.14","-97.59","Filomena Mata-Coahuitlán Totonac","100","нет — невысокий предел","0","TBA","20","100",NA,NA,NA,"Totonacan",NA,NA,NA,NA,NA,NA
"gali1262","5.84","-56.83","Carib","100+","нет — высокий предел","1","нет","20","100+",NA,NA,NA,"Carib",NA,NA,NA,NA,NA,NA
"high1276","18.20","-94.91","Highland Popoluca","5","есть — высокий предел","0","TBA","5","5",NA,NA,NA,"Mixe-Zoque",NA,NA,NA,NA,NA,NA
"huar1255","27.87","-108.44","warihio","10","нет — невысокий предел","1","нет","5","10",NA,NA,NA,"Uto-Aztecan",NA,NA,NA,NA,NA,NA
"hueh1236","20.62","-97.93","Huehuetla Tepehua","100+","нет — высокий предел","0","TBA","20","100+",NA,NA,NA,"Totonacan",NA,NA,NA,NA,NA,NA
"hupd1244","0.59","-69.84","Hupdë","20","нет — невысокий предел","0","TBA","5","20",NA,NA,NA,"Nadahup",NA,NA,NA,NA,NA,NA
"imba1240","0.32","-78.37","ecuadorian quichua","100+","нет — невысокий предел","0","TBA","10","100+",NA,NA,NA,"Quechuan",NA,NA,NA,NA,NA,NA
"ines1240","34.62","-120.08","ineseno","13","нет — невысокий предел","0","TBA","4","20",NA,NA,NA,"Chumashan",NA,NA,NA,NA,NA,NA
"isth1242","18.20","-94.75","nahuatl","5","нет — высокий предел","0","TBA","5","5",NA,NA,NA,"Uto-Aztecan",NA,NA,NA,NA,NA,NA
"jama1261","-7.62","-66.57","jarawara","5","нет — высокий предел","0","TBA","5","5",NA,NA,NA,"Arawan",NA,NA,NA,NA,NA,NA
"kari1311","-9.38","-64.15","karitiana","100+","нет — высокий предел","0","TBA","5","100+",NA,NA,NA,"Tupian",NA,NA,NA,NA,NA,NA
"kwak1269","50.93","-127.31","kwakiutl","100+","нет — невысокий предел","0","TBA","10","100+",NA,NA,NA,"Wakashan",NA,NA,NA,NA,NA,NA
"male1292","45.49","-67.41","Malecite-Passamaquoddy","100+","нет — высокий предел","0","TBA","10","100+",NA,NA,NA,"Algic",NA,NA,NA,NA,NA,NA
"mama1278","-13.24","-59.99","mamainde","5","нет — высокий предел","0","TBA","5","5",NA,NA,NA,"Nambiquaran",NA,NA,NA,NA,NA,NA
"mand1446","47.66","-102.38","mandan","100+","нет — невысокий предел","0","TBA","10","100+",NA,NA,NA,"Siouan",NA,NA,NA,NA,NA,NA
"mapu1245","-38.7392","-71.277","mapudungun","100+","есть — невысокий предел","0","TBA","10","100+","36243","arau1255","family","Araucanian","36243","arn","language","Mapudungun","36244","established"
"mats1244","-5.74","-72.63","matses","5","есть — высокий предел","0","TBA","5","5",NA,NA,NA,"Pano-Tacanan",NA,NA,NA,NA,NA,NA
"matt1238","40.43","-122.86","mattole","12","нет — высокий предел","1","нет","10","20",NA,NA,NA,"Athapaskan-Eyak-Tlingit",NA,NA,NA,NA,NA,NA
"mikm1235","45.99","-65.58","Mi'kmaq","100+","нет — высокий предел","1","нет","10","100+",NA,NA,NA,"Algic",NA,NA,NA,NA,NA,NA
"bora1263","-2.91","-68.91","mirana","100+","нет — невысокий предел","0","TBA","5","100+",NA,NA,NA,"Boran",NA,NA,NA,NA,NA,NA
"moch1259","-8.01667","-79","mochica","100+","нет — невысокий предел","0","TBA","10","100+",NA,NA,"isolate","Isolate",NA,"omc","language","Mochica","34143","established"
"nava1243","36.21","-110.08","navaho","100+","есть — высокий предел","1","нет","10","100+",NA,NA,NA,"Athapaskan-Eyak-Tlingit",NA,NA,NA,NA,NA,NA
"nuuc1236","49.61","-126.50","nuu-chah-nulth","100+","нет — высокий предел","1","нет","20","100+",NA,NA,NA,"Wakashan",NA,NA,NA,NA,NA,NA
"onei1249","43.77","-84.06","oneida","100+","нет — высокий предел","0","TBA","10","100+",NA,NA,NA,"Iroquoian",NA,NA,NA,NA,NA,NA
"pali1279","3.64","-51.62","palikur","100+","нет — высокий предел","1","нет","10","100+",NA,NA,NA,"Arawakan",NA,NA,NA,NA,NA,NA
"pota1247","40.95","-89.19","potawatomi","100+","есть — высокий предел","0","TBA","10","100+",NA,NA,NA,"Algic",NA,NA,NA,NA,NA,NA
"resi1247","-2.48","-71.36","resigaro","5","нет — высокий предел","0","TBA","5","5",NA,NA,NA,"Arawakan",NA,NA,NA,NA,NA,NA
"saba1286","-12.99","-60.34","sabane","5","нет — невысокий предел","0","TBA","5","5",NA,NA,NA,"Nambiquaran",NA,NA,NA,NA,NA,NA
"saca1238","15.27","-91.11","sacapulteco","100","нет — невысокий предел","0","TBA","20","100",NA,NA,NA,"Mayan",NA,NA,NA,NA,NA,NA
"sars1236","50.88","-114.30","sarsi","100","нет — высокий предел","1","нет","10","100",NA,NA,NA,"Athapaskan-Eyak-Tlingit",NA,NA,NA,NA,NA,NA
"siks1238","49.07","-113.11","blackfoot","100+","есть — высокий предел","0","TBA","10","100+",NA,NA,NA,"Algic",NA,NA,NA,NA,NA,NA
"soch1239","17.80","-96.61","sochiapam chinantec","100+","есть — высокий предел","1","нет","20","100+",NA,NA,NA,"Otomanguean",NA,NA,NA,NA,NA,NA
"sout2976","23.16","-103.98","southeastern tepehuan","5","нет — невысокий предел","0","TBA","5","5",NA,NA,NA,"Uto-Aztecan",NA,NA,NA,NA,NA,NA
"sout2994","-14.37","-59.52","nambiquara","5","есть — высокий предел","0","TBA","5","5",NA,NA,NA,"Nambiquaran",NA,NA,NA,NA,NA,NA
"tapi1253","-21.42","-62.68","tapiete","100","есть — высокий предел","0","TBA","10","100",NA,NA,NA,"Tupian",NA,NA,NA,NA,NA,NA
"tari1256","0.44","-68.90","tariana","20","нет — высокий предел","0","TBA","5","20",NA,NA,NA,"Arawakan",NA,NA,NA,NA,NA,NA
"teri1250","9.07","-82.96","teribe","100","нет — невысокий предел","0","TBA","10","100",NA,NA,NA,"Chibchan",NA,NA,NA,NA,NA,NA
"till1254","44.0924","-122.769","tillamook","10","нет — высокий предел","0","TBA","10","10","24510","sali1255","family","Salishan","24510","til","language","Tillamook","24572","established"
"tiwa1255","34.79","-106.66","tiwa","100+","нет — невысокий предел","0","TBA","10","100+",NA,NA,NA,"Kiowa-Tanoan",NA,NA,NA,NA,NA,NA
"tlin1245","59.4447","-135.29","tlingit","100+","нет — высокий предел","0","TBA","mixed","100+","44798","atha1245","family","Athapaskan-Eyak-Tlingit","44798","tli","language","Tlingit","44859","established"
"toho1245","31.80","-112.00","O’odham","100+","нет — высокий предел","0","TBA","10","100+",NA,NA,NA,"Uto-Aztecan",NA,NA,NA,NA,NA,NA
"tonk1249","30.25","-96.75","tonkawa","100+","есть — высокий предел","1","нет","10","100+",NA,NA,"isolate","Isolate",NA,"tqw","language","Tonkawa","38980","established"
"tuni1252","30.9888","-92.5403","tunica","100+","нет — высокий предел","0","TBA","10","100+",NA,NA,"isolate","Isolate",NA,"tun","language","Tunica","38901","established"
"tute1247","37.67","-78.75","tutelo","100+","нет — высокий предел","0","TBA","10","100+",NA,NA,NA,"Siouan",NA,NA,NA,NA,NA,NA
"tzel1254","16.64","-92.28","tzeltal","20","нет — высокий предел","0","TBA","20","20",NA,NA,NA,"Mayan",NA,NA,NA,NA,NA,NA
"tzot1259","16.64","-92.74","tzotzil","100+","нет — невысокий предел","0","TBA","20","100+",NA,NA,NA,"Mayan",NA,NA,NA,NA,NA,NA
"tzut1248","14.64","-91.20","tz’utujil","100+","нет — высокий предел","0","TBA","20","100+",NA,NA,NA,"Mayan",NA,NA,NA,NA,NA,NA
"uppe1275","20.30","-97.84","upper necaxa totonac","100","нет — высокий предел","0","TBA","20","100",NA,NA,NA,"Totonacan",NA,NA,NA,NA,NA,NA
"utes1238","40.10","-110.31","ute","5","нет — невысокий предел","0","TBA","5","5",NA,NA,NA,"Uto-Aztecan",NA,NA,NA,NA,NA,NA
"wari1268","-10.70","-64.56","wari’","5","нет — невысокий предел","0","TBA","5","5",NA,NA,NA,"Chapacuran",NA,NA,NA,NA,NA,NA
"wash1253","38.8184","-119.64","washo","100","есть — невысокий предел","1","нет","10","100",NA,NA,"isolate","Isolate",NA,"was","language","Washo","26322","established"
"wayu1243","10.23","-71.81","goajiro arawak","100","есть — невысокий предел","1","нет","10","100",NA,NA,NA,"Arawakan",NA,NA,NA,NA,NA,NA
"west2644","16.25","-97.32","yaitepec chatino","100+","нет — высокий предел","0","TBA","20","100+",NA,NA,NA,"Otomanguean",NA,NA,NA,NA,NA,NA
"yuch1247","35.9615","-95.0393","yuchi","100+","есть — высокий предел","1","нет","10","100+",NA,NA,"isolate","Isolate",NA,"yuc","language","Yuchi","26356","established"
